id,type,latitude,longitude,name
1,speedBreaker,17.536903, 74.945056,Speed Breaker A
2,pothole,19.0765,72.8781,Pothole 1
3,railwayCrossing,19.0772,72.8795,Crossing A
4, speedBreaker,17.528001, 74.929622,dighanchi man river speed breaker
5, speedBreaker,17.527827, 74.928005, dighanchi atpadi road village speed breaker
7, speedBreaker,17.527624, 74.923580, dighanchi highschool speed breaker
8, speedBreaker,17.527709, 74.921187, dighanchi mayani road speed breaker
9, speedBreaker,17.528523, 74.911017, dighanchi mayani road speed breaker 1
10, speedBreaker,17.528557, 74.911872, dighanchi mayani road speed breaker 2
11, sharpCurve, 17.528836, 74.935734, dighanchi khavaspur road crossing sharp curve